Date,IBGE6,TotalVaccinations,PeopleVaccinated,PeopleFullyVaccinated
2022-06-08,310040,10352,4035,3753
2022-06-08,310070,7130,2597,2498
2022-06-08,310310,4096,1429,1375
2022-06-08,310330,6201,2100,2051
2022-06-08,310360,6822,2688,2483
2022-06-08,310680,5378,2646,2132
2022-06-08,310880,11937,4371,4135
2022-06-08,311170,12168,4985,4690
2022-06-08,311480,11814,4348,4203
2022-06-08,311547,10552,4225,3849
2022-06-08,311620,7859,2895,2814
2022-06-08,311650,17933,7020,6589
2022-06-08,311690,6348,2423,2290
2022-06-08,311760,14826,5890,5481
2022-06-08,311787,19496,7526,7216
2022-06-08,311890,19181,6944,6643
2022-06-08,311980,8438,3251,3046
2022-06-08,312280,7830,2824,2769
2022-06-08,312290,12933,5487,4913
2022-06-08,312310,11355,4496,4153
2022-06-08,312520,5049,1964,1817
2022-06-08,312750,11283,4761,4073
2022-06-08,312760,27424,11040,9884
2022-06-08,312850,11458,4239,4017
2022-06-08,312880,15952,6697,6056
2022-06-08,312900,19443,7479,7067
2022-06-08,313115,29191,12053,10902
2022-06-08,313260,8407,4099,3083
2022-06-08,313470,23723,10449,8978
2022-06-08,313570,15659,5760,5480
2022-06-08,313870,12799,5110,4836
2022-06-08,314020,8840,3203,3098
2022-06-08,314085,11618,6398,4323
2022-06-08,314250,6642,2412,2280
2022-06-08,314535,17117,8022,6435
2022-06-08,314550,7311,2737,2558
2022-06-08,314750,4658,1705,1636
2022-06-08,314850,14006,6113,5387
2022-06-08,314890,10951,4214,3896
2022-06-08,314940,5745,2141,2028
2022-06-08,315010,7984,2906,2745
2022-06-08,315053,8445,3941,3440
2022-06-08,315213,7011,3606,2786
2022-06-08,315300,10840,4020,3903
2022-06-08,315380,4894,1857,1747
2022-06-08,315640,8699,3214,3085
2022-06-08,315727,7676,3103,2805
2022-06-08,315850,20145,7786,7212
2022-06-08,316060,6625,2694,2464
2022-06-08,316265,6565,2817,2551
2022-06-08,316443,7048,2728,2606
2022-06-08,316450,17391,7233,6432
2022-06-08,316490,5688,2194,2079
2022-06-08,316700,5390,1923,1869
2022-06-08,316730,6840,2576,2427
2022-06-08,316805,6724,2814,2569
2022-06-08,316950,11457,4785,4151
2022-06-08,350720,2495,913,963
2022-06-08,350995,9949,4097,3991
2022-06-08,353100,7294,2528,2681
2022-06-08,353215,11458,4341,4451
2022-06-08,354470,6920,2645,2542
2022-06-08,354930,5473,1979,2032
2022-06-08,410754,8533,3556,3256
2022-06-08,411300,14832,5816,5330
2022-06-08,411310,11765,4264,4151
2022-06-08,411545,8256,3399,3013
2022-06-08,411573,8288,3278,3114
2022-06-08,411600,5008,1883,1802
2022-06-08,411660,8674,3261,3137
2022-06-08,411925,5929,2322,2131
2022-06-08,412020,6616,2535,2502
2022-06-08,412030,9501,3779,3602
2022-06-08,412033,8893,3405,3172
2022-06-08,412085,9622,4121,3801
2022-06-08,412135,6083,2291,2208
2022-06-08,420055,7256,2790,2727
2022-06-08,420127,9694,3901,3435
2022-06-08,420160,9797,3858,3604
2022-06-08,420209,5115,1920,1873
2022-06-08,420213,11565,5155,4800
2022-06-08,420215,6999,2644,2576
2022-06-08,420287,6530,2414,2351
2022-06-08,420310,13642,5714,5248
2022-06-08,420415,8097,2961,2866
2022-06-08,420475,4965,1932,1893
2022-06-08,420535,4417,1783,1678
2022-06-08,420757,7389,2990,2879
2022-06-08,420765,24343,9143,8907
2022-06-08,420915,10151,4368,3777
2022-06-08,420917,6040,2389,2292
2022-06-08,420945,3285,1214,1218
2022-06-08,421055,5641,2135,2044
2022-06-08,421070,6484,2683,2495
2022-06-08,421185,5512,2211,2116
2022-06-08,421205,6014,2525,2282
2022-06-08,421260,8231,3045,2988
2022-06-08,421310,12949,4915,4752
2022-06-08,421410,3811,1574,1515
2022-06-08,421420,22126,9313,7934
2022-06-08,421530,15172,6903,6022
2022-06-08,421565,19105,7851,7295
