IBGE,Municipio,Population,Date,TotalVaccinations,PeopleVaccinated,PeopleFullyVaccinated
1720309,São Sebastião do Tocantins,4898,2021-11-12,4758,2919,1810
1720655,Silvanópolis,5452,2021-11-12,6642,3687,2732
1720853,Sucupira,2007,2021-11-12,2674,1531,1067
1720978,Talismã,2831,2021-11-12,4385,2470,1873
2100808,Anapurus,16054,2021-11-12,14632,9473,4793
2103158,Centro do Guilherme,13876,2021-11-12,7501,4491,2864
2104552,Governador Edison Lobão,18740,2021-11-12,15200,9485,6049
2104628,Governador Luiz Rocha,7878,2021-11-12,4930,3368,1594
2105153,Igarapé do Meio,14470,2021-11-12,14226,8626,5300
2106359,Marajá do Sena,7757,2021-11-12,5537,3585,1924
2107209,Nina Rodrigues,14826,2021-11-12,10864,6937,3943
2109551,Ribamar Fiquene,7859,2021-11-12,8225,4862,3252
2110278,Santo Amaro do Maranhão,16219,2021-11-12,9776,6365,3350
2110658,São Domingos do Azeitão,7448,2021-11-12,6983,4252,2583
2111029,São João do Carú,15768,2021-11-12,9599,6108,3458
2111672,São Roberto,6856,2021-11-12,5731,3481,2203
2201556,Bela Vista do Piauí,4044,2021-11-12,5984,3280,2734
2201804,Bocaina,4509,2021-11-12,6940,3655,3106
2202075,Cajazeiras do Piauí,3586,2021-11-12,5026,2693,2189
2202117,Campo Alegre do Fidalgo,5093,2021-11-12,7517,4062,3363
2202251,Canavieira,3938,2021-11-12,4502,2601,1876
2203230,Currais,4982,2021-11-12,6524,3684,2755
2204204,Francisco Santos,9423,2021-11-12,10885,5835,4795
2204659,Ilha Grande,9487,2021-11-12,11396,6907,4422
2205953,Marcolândia,8590,2021-11-12,8621,5237,3337
2207553,Paquetá,3931,2021-11-12,5950,3356,2627
2209450,Santo Antônio dos Milagres,2172,2021-11-12,2873,1544,1257
2210201,São José do Piauí,6696,2021-11-12,9400,5441,4012
2210375,São Luis do Piauí,2648,2021-11-12,4516,2614,1923
2304277,Ereré,7254,2021-11-12,7935,4654,3174
