IBGE,Municipio,Population,Date,TotalVaccinations,PeopleVaccinated,PeopleFullyVaccinated
4310413,Inhacorá,2207,2021-11-13,2957,1593,1309
4310439,Ipê,6736,2021-11-13,12288,6390,5344
4310504,Iraí,7046,2021-11-13,12343,6180,5571
4310538,Itaara,5573,2021-11-13,9150,4876,4115
4310603,Itaqui,37363,2021-11-13,50807,27605,22378
4310702,Itatiba do Sul,3143,2021-11-13,6257,3120,2789
4310751,Ivorá,1854,2021-11-13,3941,1934,1730
4311106,Jaguari,10684,2021-11-13,20507,10092,9406
4311155,Jóia,8571,2021-11-13,12131,6444,5384
4311205,Júlio de Castilhos,19159,2021-11-13,33258,17533,14207
4311502,Lavras do Sul,7410,2021-11-13,12022,6300,5426
4311601,Liberato Salzano,5087,2021-11-13,7517,3763,3372
4311734,Mampituba,2965,2021-11-13,4511,2422,1962
4311908,Marcelino Ramos,4239,2021-11-13,8256,4189,3679
4311981,Mariana Pimentel,3892,2021-11-13,6851,3699,2950
4312179,Mato Queimado,1611,2021-11-13,2974,1457,1334
4312252,Minas do Leão,8130,2021-11-13,11135,6288,4576
4312450,Morro Redondo,6609,2021-11-13,11881,6022,5302
4312476,Morro Reuter,6570,2021-11-13,11309,5810,5079
4312500,Mostardas,12888,2021-11-13,20223,10605,8832
4312609,Muçum,4967,2021-11-13,9353,4539,4151
4312617,Muitos Capões,3184,2021-11-13,4690,2577,2039
4312674,Nicolau Vergueiro,1667,2021-11-13,2977,1658,1242
4312708,Nonoai,11574,2021-11-13,19207,10314,8246
4312807,Nova Araçá,4890,2021-11-13,8495,4585,3649
4313003,Nova Bréscia,3345,2021-11-13,6374,3055,2807
4313102,Nova Palma,6519,2021-11-13,10829,5382,4851
4313300,Nova Prata,28021,2021-11-13,41784,22396,18478
4313391,Novo Cabrais,4246,2021-11-13,6431,3273,2901
4313953,Pantano Grande,8995,2021-11-13,14753,8235,6151
4314001,Paraí,7793,2021-11-13,13650,7042,6220
4314027,Paraíso do Sul,7635,2021-11-13,10843,5674,4854
4314035,Pareci Novo,3885,2021-11-13,6604,3511,2932
4314068,Passa Sete,5790,2021-11-13,7268,3708,3298
4314076,Passo do Sobrado,6612,2021-11-13,9695,5213,4283
4314159,Paverama,8541,2021-11-13,12033,6187,5472
4314209,Pedro Osório,7683,2021-11-13,12978,7251,5521
4314423,Picada Café,5780,2021-11-13,9280,4702,4191
4314472,Pinhal Grande,4309,2021-11-13,6565,3334,2913
4314548,Pinto Bandeira,3068,2021-11-13,4680,2397,2078
4314555,Pirapó,2205,2021-11-13,4481,2265,2077
4314605,Piratini,20743,2021-11-13,27418,14731,11795
4314704,Planalto,9957,2021-11-13,16189,8254,7299
4315008,Porto Lucena,4514,2021-11-13,7720,4060,3621
4315057,Porto Mauá,2332,2021-11-13,4072,2030,1834
4315156,Progresso,6235,2021-11-13,10032,5218,4412
4315305,Quaraí,22531,2021-11-13,31815,16755,13879
4315404,Redentora,11782,2021-11-13,11575,6413,5066
4315552,Rio dos Índios,2571,2021-11-13,4851,2555,2220
4315701,Rio Pardo,38257,2021-11-13,54826,28978,23978
4316006,Rolante,21591,2021-11-13,31471,17332,13551
4316303,Roque Gonzales,6750,2021-11-13,11636,6010,5278
4316501,Salvador do Sul,7975,2021-11-13,12656,6539,5612
4316709,Santa Bárbara do Sul,7813,2021-11-13,13780,7182,6108
4316758,Santa Clara do Sul,6755,2021-11-13,11647,6085,5071
4317004,Santana da Boa Vista,8037,2021-11-13,11636,6118,5222
4317251,Santa Tereza,1722,2021-11-13,3259,1598,1449
4317301,Santa Vitória do Palmar,29298,2021-11-13,44679,23690,19663
4317400,Santiago,49298,2021-11-13,83566,43831,36589
4317608,Santo Antônio da Patrulha,43397,2021-11-13,62316,33286,27365
4317707,Santo Antônio das Missões,9930,2021-11-13,16083,8801,6948
4317905,Santo Cristo,14177,2021-11-13,26414,13175,12253
4318200,São Francisco de Paula,21871,2021-11-13,29942,16329,12816
4318424,São João da Urtiga,4625,2021-11-13,7857,4054,3479
4318432,São João do Polêsine,2535,2021-11-13,4698,2365,2076
4318457,São José das Missões,2491,2021-11-13,4084,2082,1810
4318465,São José do Herval,1917,2021-11-13,3481,1777,1561
4318507,São José do Norte,27866,2021-11-13,36461,20001,16150
4319109,São Martinho,5336,2021-11-13,10562,5081,4862
4319158,São Miguel das Missões,7692,2021-11-13,12305,6400,5538
4319307,São Paulo das Missões,5654,2021-11-13,9758,5076,4350
4319372,São Pedro do Butiá,2950,2021-11-13,5698,2862,2609
4319406,São Pedro do Sul,16100,2021-11-13,29832,15494,13326
4319505,São Sebastião do Caí,26161,2021-11-13,34023,18517,14744
4319703,São Valentim,3220,2021-11-13,6416,3317,2760
4319802,São Vicente do Sul,8742,2021-11-13,14574,7622,6300
4319901,Sapiranga,80514,2021-11-13,126185,68316,54239
4320206,Seberi,10678,2021-11-13,17670,9246,7672
4320263,Segredo,7465,2021-11-13,10463,5461,4648
4320305,Selbach,5114,2021-11-13,9378,4716,4169
4320354,Sentinela do Sul,5635,2021-11-13,8075,4231,3545
4320404,Serafina Corrêa,18074,2021-11-13,27174,14561,11918
4320503,Sertão,5220,2021-11-13,10643,5371,4924
4320651,Silveira Martins,2365,2021-11-13,4511,2360,1985
4320800,Soledade,31067,2021-11-13,43278,23672,18782
4320859,Tabaí,4816,2021-11-13,6939,3818,2954
4321105,Tapes,17363,2021-11-13,25033,13096,10626
4321303,Taquari,26907,2021-11-13,38750,20268,16764
4321709,Três Coroas,28948,2021-11-13,13843,9592,4224
4322202,Tupanciretã,24182,2021-11-13,28291,14768,12608
4322251,Tupandi,5019,2021-11-13,7771,4294,3389
4322525,Vale Verde,3531,2021-11-13,5481,2878,2472
4322541,Vale Real,6046,2021-11-13,9807,5195,4388
4323101,Vicente Dutra,4530,2021-11-13,6761,3544,3174
4323408,Vila Maria,4368,2021-11-13,8465,4162,3794
4323754,Vitória das Missões,3052,2021-11-13,5870,2970,2620
4323770,Westfália,3046,2021-11-13,5203,2566,2383
5000252,Alcinópolis,5489,2021-11-13,8298,4329,3803
5000708,Anastácio,25336,2021-11-13,32650,16989,14552
5000807,Anaurilândia,9116,2021-11-13,11948,6093,5394
5000856,Angélica,11081,2021-11-13,16951,8612,7708
5001904,Bataguassu,23620,2021-11-13,40184,20951,18013
5002209,Bonito,22401,2021-11-13,34442,19038,15189
5003454,Deodápolis,13043,2021-11-13,18725,9647,8789
5003900,Figueirão,3066,2021-11-13,5190,2653,2368
5004007,Glória de Dourados,9934,2021-11-13,16630,8384,7454
5004403,Inocência,7566,2021-11-13,14654,7481,6484
5005103,Jateí,4015,2021-11-13,7689,3967,3453
5005152,Juti,6861,2021-11-13,10305,5442,4470
5005202,Ladário,24040,2021-11-13,23735,14010,11765
5005608,Miranda,28423,2021-11-13,33823,18072,15040
5006259,Novo Horizonte do Sul,3556,2021-11-13,9147,4405,4195
5006358,Paranhos,14576,2021-11-13,17082,9577,7583
5006408,Pedro Gomes,7568,2021-11-13,11099,5734,4867
5007406,Rio Verde de Mato Grosso,20025,2021-11-13,26111,13755,11466
5007505,Rochedo,5120,2021-11-13,7640,4023,3271
5008404,Vicentina,6115,2021-11-13,12031,5869,5418
5100102,Acorizal,5309,2021-11-13,9332,4980,4001
5100250,Alta Floresta,52105,2021-11-13,64077,36631,27918
5100300,Alto Araguaia,19714,2021-11-13,23397,12974,10077
5100409,Alto Garças,12323,2021-11-13,15550,8832,6501
5100508,Alto Paraguai,11587,2021-11-13,10071,5833,4110
5100805,Apiacás,10431,2021-11-13,10009,5853,4080
5101308,Arenápolis,9399,2021-11-13,14091,7953,6124
5101605,Barão de Melgaço,8165,2021-11-13,9523,5210,4139
5101704,Barra do Bugres,35642,2021-11-13,44298,24905,19147
5102603,Campinápolis,16223,2021-11-13,16072,8606,7304
5102694,Canabrava do Norte,4711,2021-11-13,4865,2804,2027
5102793,Carlinda,10094,2021-11-13,14351,8116,6179
5103007,Chapada dos Guimarães,22521,2021-11-13,30647,17712,12396
5103304,Comodoro,21249,2021-11-13,22281,13092,9166
5103361,Conquista D'Oeste,4163,2021-11-13,6018,3355,2551
5103379,Cotriguaçu,20717,2021-11-13,14604,8376,6210
5103601,Dom Aquino,8087,2021-11-13,11040,6242,4530
5103858,Gaúcha do Norte,7913,2021-11-13,11332,6313,4932
5104526,Ipiranga do Norte,8182,2021-11-13,9645,5620,4195
5104609,Itiquira,13727,2021-11-13,15867,9534,6526
5105002,Jauru,8377,2021-11-13,12269,6576,5560
5105234,Lambari D'Oeste,6246,2021-11-13,7204,3998,3129
5105507,Vila Bela da Santíssima Trindade,16412,2021-11-13,17606,10757,6900
5105622,Mirassol d'Oeste,28135,2021-11-13,33746,19274,14196
5105903,Nobres,15332,2021-11-13,20296,12022,8277
5106109,Nossa Senhora do Livramento,13093,2021-11-13,21632,11731,9723
5106158,Nova Bandeirantes,16052,2021-11-13,12070,7338,4745
5106174,Nova Nazaré,4013,2021-11-13,4369,2353,1918
5106182,Nova Lacerda,6861,2021-11-13,7606,4413,3123
5106190,Nova Santa Helena,3755,2021-11-13,4907,3060,1936
5106208,Nova Brasilândia,3656,2021-11-13,6436,3528,2903
5106232,Nova Olímpia,20820,2021-11-13,22888,13139,9796
5106372,Pedra Preta,17547,2021-11-13,18263,12154,6222
5106505,Poconé,33386,2021-11-13,40989,23673,17252
5106653,Pontal do Araguaia,6972,2021-11-13,8726,4722,3852
5106828,Porto Esperidião,12176,2021-11-13,15393,8854,6298
5106851,Porto Estrela,2794,2021-11-13,5059,2794,2329
5107198,Ribeirãozinho,2439,2021-11-13,4026,2171,1754
5107206,Rio Branco,5147,2021-11-13,6913,3975,2933
5107305,São José do Rio Claro,21351,2021-11-13,22149,12994,9067
5107354,São José do Xingu,5646,2021-11-13,7326,4505,2851
5107701,Rosário Oeste,16999,2021-11-13,17823,10461,7175
5107768,Santa Rita do Trivelato,3602,2021-11-13,4763,2535,2171
5107792,Santo Antônio do Leste,5459,2021-11-13,5044,3088,1990
5107800,Santo Antônio do Leverger,17188,2021-11-13,26494,15714,10857
5108303,União do Sul,3455,2021-11-13,4935,3002,1905
5108501,Vera,11731,2021-11-13,13120,7931,5326
5108600,Vila Rica,26946,2021-11-13,19829,12070,7758
5108857,Nova Marilândia,3332,2021-11-13,4707,2800,1892
5201454,Aparecida do Rio Doce,2474,2021-11-13,3343,1917,1358
5201504,Aporé,4266,2021-11-13,4084,2276,1709
5201603,Araçu,3450,2021-11-13,6998,4004,2706
5203559,Bonfinópolis,10120,2021-11-13,15039,8457,6142
5203609,Brazabrantes,3812,2021-11-13,6046,3361,2459
5203807,Britânia,5815,2021-11-13,6909,4613,2304
5203906,Buriti Alegre,9515,2021-11-13,15009,8027,6357
5204250,Cachoeira Dourada,7997,2021-11-13,13512,7269,5602
5204854,Campo Limpo de Goiás,8087,2021-11-13,10071,6056,3949
5204953,Campos Verdes,1526,2021-11-13,6326,3592,2587
5205000,Carmo do Rio Verde,10299,2021-11-13,14329,8149,5885
5205208,Caturaí,5132,2021-11-13,7775,4429,3057
5205307,Cavalcante,9740,2021-11-13,11914,6463,5192
5205901,Corumbaíba,10012,2021-11-13,13061,7159,5531
5206404,Crixás,17136,2021-11-13,22073,12596,8896
5206503,Cromínia,3458,2021-11-13,5838,2997,2412
5206800,Damolândia,2944,2021-11-13,5228,2779,2194
5207105,Diorama,2477,2021-11-13,3861,2051,1653
5207501,Estrela do Norte,3253,2021-11-13,5195,2829,2235
5207535,Faina,6527,2021-11-13,8578,4669,3599
5207600,Fazenda Nova,5471,2021-11-13,8644,4852,3569
5208103,Formoso,4098,2021-11-13,6008,3898,2030
5208152,Gameleira de Goiás,3923,2021-11-13,4989,2910,1965
5208400,Goianápolis,11217,2021-11-13,17106,10002,6992
5209606,Heitoraí,3742,2021-11-13,6173,3334,2557
5209804,Hidrolina,3450,2021-11-13,5117,2835,2204
5209903,Iaciara,14215,2021-11-13,18122,10407,7676
5209952,Indiara,15962,2021-11-13,20242,12223,7825
5210109,Ipameri,27365,2021-11-13,40605,22346,16960
5210562,Itaguari,4684,2021-11-13,7362,3976,3086
5210604,Itaguaru,5184,2021-11-13,8989,4840,3789
5211008,Itapirapuã,4380,2021-11-13,11790,6450,5015
5212006,Jaupaci,2843,2021-11-13,4059,2392,1621
5212105,Joviânia,7417,2021-11-13,9999,5774,3985
5212303,Leopoldo de Bulhões,7663,2021-11-13,10979,6110,4503
5212600,Mairipotaba,2358,2021-11-13,5375,2772,2329
5212709,Mambaí,9277,2021-11-13,9521,5286,4325
5212956,Matrinchã,4321,2021-11-13,7164,3885,2997
5213004,Maurilândia,14568,2021-11-13,13919,8377,5417
5213400,Moiporá,1471,2021-11-13,3050,1577,1270
5213707,Montes Claros de Goiás,8037,2021-11-13,10105,5602,4336
5213855,Morro Agudo de Goiás,2217,2021-11-13,3908,2199,1623
5214051,Mundo Novo,4540,2021-11-13,9514,5552,3871
5214101,Mutunópolis,3749,2021-11-13,6441,3627,2722
5214408,Nazário,9375,2021-11-13,11175,6332,4429
5214838,Nova Crixás,13020,2021-11-13,16845,10000,6597
5214861,Nova Glória,8063,2021-11-13,10757,6779,3966
5215207,Novo Brasil,2775,2021-11-13,5022,2764,2104
5215405,Ouro Verde de Goiás,3679,2021-11-13,7039,3861,2900
5215652,Palestina de Goiás,3470,2021-11-13,4497,2514,1841
5215801,Palmelo,2382,2021-11-13,4119,2167,1767
5215900,Palminópolis,3578,2021-11-13,6688,3599,2782
5216304,Paranaiguara,10221,2021-11-13,13384,7337,5566
5217708,Pontalina,17899,2021-11-13,27314,14638,11279
5218052,Porteirão,3979,2021-11-13,5846,3283,2512
5219100,Santa Bárbara de Goiás,6701,2021-11-13,9017,4942,3801
5219258,Santa Fé de Goiás,5585,2021-11-13,8713,5068,3499
5219357,Santa Isabel,3821,2021-11-13,5721,3195,2279
5219407,Santa Rita do Araguaia,9110,2021-11-13,6298,3536,2742
5219456,Santa Rita do Novo Destino,3367,2021-11-13,4206,2381,1741
5219506,Santa Rosa de Goiás,2200,2021-11-13,5866,3113,2547
5219704,Santa Terezinha de Goiás,8386,2021-11-13,13278,7437,5516
5219803,São Domingos,13305,2021-11-13,11342,6681,4811
5219902,São Francisco de Goiás,6265,2021-11-13,8377,4624,3528
5220009,São João d'Aliança,14423,2021-11-13,14483,8397,5973
5220264,São Miguel do Passa Quatro,4105,2021-11-13,6180,3371,2542
5220603,Silvânia,20938,2021-11-13,31161,17150,12965
5220686,Simolândia,6895,2021-11-13,8040,4811,3120
5221304,Três Ranchos,2830,2021-11-13,4075,2247,1652
5221452,Trombas,3497,2021-11-13,4267,2579,1640
5221809,Urutaí,3056,2021-11-13,5572,2964,2407
5221908,Varjão,3848,2021-11-13,6116,3381,2646
5222203,Vila Boa,6451,2021-11-13,4897,3081,1835
1100049,Cacoal,86416,2021-11-14,120593,69142,50198
1100098,Espigão D'Oeste,33009,2021-11-14,39580,22743,16648
1100189,Pimenta Bueno,37098,2021-11-14,51203,28434,22208
1100304,Vilhena,104517,2021-11-14,124884,70472,52380
1100320,São Miguel do Guaporé,23147,2021-11-14,25809,14878,10965
1100346,Alvorada D'Oeste,13807,2021-11-14,18792,10344,8294
1100379,Alto Alegre dos Parecis,13268,2021-11-14,14286,8386,5767
1100403,Alto Paraíso,22258,2021-11-14,19936,11039,8689
1100502,Novo Horizonte do Oeste,8125,2021-11-14,11270,6764,4653
1101005,Governador Jorge Teixeira,7130,2021-11-14,11053,6048,4952
1101302,Mirante da Serra,10691,2021-11-14,12751,7977,4834
1101401,Monte Negro,16158,2021-11-14,15429,9209,6279
1101757,Vale do Anari,11545,2021-11-14,9678,5256,4247
1300029,Alvarães,16396,2021-11-14,14638,8714,5757
1301209,Coari,86713,2021-11-14,60304,38261,22032
1302306,Jutaí,13462,2021-11-14,6852,4508,2333
1503705,Itupiranga,53439,2021-11-14,32317,23499,9251
1503903,Juruti,59961,2021-11-14,52658,34517,18037
1504505,Melgaço,28121,2021-11-14,16671,10963,5918
1505031,Novo Progresso,25769,2021-11-14,23883,15922,9217
1505106,Óbidos,52473,2021-11-14,62608,36854,25988
1506104,Primavera,10889,2021-11-14,13313,8939,4490
1507201,São Domingos do Capim,32285,2021-11-14,40829,22668,18100
1508050,Trairão,19344,2021-11-14,11541,7089,4660
1700707,Alvorada,8381,2021-11-14,12903,7237,5368
1701002,Ananás,9435,2021-11-14,11849,6914,4607
1702307,Arapoema,6590,2021-11-14,8390,4981,3609
1703107,Barrolândia,5669,2021-11-14,6344,3723,2551
1703891,Carrasco Bonito,4165,2021-11-14,4602,2692,1813
1706100,Cristalândia,7268,2021-11-14,7527,4248,3084
1706258,Crixás do Tocantins,1749,2021-11-14,2243,1270,970
1707108,Divinópolis do Tocantins,6986,2021-11-14,9253,5555,3579
1717503,Pium,7830,2021-11-14,7459,4084,3011
1717909,Ponte Alta do Tocantins,8192,2021-11-14,8100,4744,3190
1718758,Rio Sono,6498,2021-11-14,5072,3179,1889
1719004,Santa Tereza do Tocantins,2928,2021-11-14,3722,1999,1663
1720200,São Miguel do Tocantins,12445,2021-11-14,8381,5039,3172
1720804,Sítio Novo do Tocantins,8965,2021-11-14,11169,6568,4545
1721109,Tocantínia,7688,2021-11-14,6968,3944,2914
2101350,Bacurituba,5696,2021-11-14,7189,4135,3316
2102507,Cajari,19521,2021-11-14,14656,8738,5789
2105476,Jenipapo dos Vieiras,17123,2021-11-14,13476,7538,5523
2106805,Mirinzal,15059,2021-11-14,19037,11051,7682
2107100,Morros,19708,2021-11-14,13736,8753,5076
2107605,Palmeirândia,19840,2021-11-14,18429,10842,7421
2109304,Presidente Vargas,11328,2021-11-14,14562,8959,5647
2111805,Sítio Novo,18237,2021-11-14,18596,10755,7473
2112704,Vargem Grande,57813,2021-11-14,20026,14318,7039
2112803,Viana,52852,2021-11-14,51020,30123,19902
2201002,Arraial,4713,2021-11-14,7609,4084,3307
2202653,Caxingó,5477,2021-11-14,6122,3787,2371
2203271,Curral Novo do Piauí,5390,2021-11-14,5209,3242,1976
2205201,Jaicós,19233,2021-11-14,28168,15328,12077
2205565,Lagoa do Barro do Piauí,4658,2021-11-14,7459,4036,3233
2206050,Massapê do Piauí,6456,2021-11-14,8202,4640,3388
2207959,Nova Santa Rita,4392,2021-11-14,6977,3838,3152
2208908,Ribeiro Gonçalves,7408,2021-11-14,7855,4535,3278
2209104,Santa Cruz do Piauí,6254,2021-11-14,10233,5520,4480
2209757,São Gonçalo do Gurguéia,3071,2021-11-14,3085,1840,1258
2210623,Sebastião Barros,3434,2021-11-14,4117,2681,1492
2210953,Tamboril do Piauí,2939,2021-11-14,4144,2449,1698
2300101,Abaiara,11965,2021-11-14,11283,6564,4707
2300150,Acarape,15140,2021-11-14,10679,7397,3164
2300606,Altaneira,7712,2021-11-14,10591,6235,4136
2300705,Alto Santo,16077,2021-11-14,15274,9184,6021
2301802,Baixio,6318,2021-11-14,9711,5413,4143
2302701,Campos Sales,27513,2021-11-14,36379,23224,13465
2303105,Cariré,18470,2021-11-14,14877,10280,4539
2304350,Forquilha,24680,2021-11-14,29106,16220,11847
2306108,Irauçuba,24450,2021-11-14,32647,18164,13449
2308401,Missão Velha,35566,2021-11-14,28579,19823,8695
2309904,Pacujá,6565,2021-11-14,9044,4982,3810
2310001,Palhano,9458,2021-11-14,10292,6621,3607
2310803,Pereiro,16356,2021-11-14,21207,12226,8736
2311207,Potengi,11165,2021-11-14,11386,7136,4229
2311900,Saboeiro,15757,2021-11-14,17512,10102,7376
2311959,Salitre,16714,2021-11-14,18680,10985,7386
2313708,Umari,7740,2021-11-14,8379,5170,3327
2400802,Angicos,11695,2021-11-14,16113,9351,6242
2400901,Antônio Martins,7162,2021-11-14,10091,5548,4227
2401305,Campo Grande,9686,2021-11-14,12688,7209,5019
2401602,Bento Fernandes,5552,2021-11-14,4707,3076,1620
2402303,Caraúbas,20588,2021-11-14,31750,16637,13961
2402808,Coronel Ezequiel,5501,2021-11-14,7348,3928,3208
2403707,Felipe Guerra,6009,2021-11-14,12639,6922,5388
2404002,Frutuoso Gomes,4015,2021-11-14,6634,3588,2832
2404309,Governador Dix-Sept Rosado,13115,2021-11-14,16882,9244,7295
2404408,Grossos,10541,2021-11-14,11304,6462,4643
2404853,Itajá,7641,2021-11-14,9149,5490,3351
2405207,Janduís,5228,2021-11-14,9884,5384,4048
2405603,Jardim de Piranhas,15044,2021-11-14,17507,9966,7166
2405900,João Dias,2653,2021-11-14,3900,2097,1685
2406007,José da Penha,5941,2021-11-14,10070,5466,4261
2408706,Paraú,3732,2021-11-14,5214,2967,2003
2409308,Patu,12861,2021-11-14,19301,9891,8491
2409803,Pedro Velho,14881,2021-11-14,15931,9329,6196
2410207,Portalegre,7944,2021-11-14,12699,6653,5636
2411007,Rodolfo Fernandes,4457,2021-11-14,6815,3587,2962
2411403,Santana do Matos,11808,2021-11-14,16704,9269,6786
2413359,Serra do Mel,12225,2021-11-14,14972,8534,6116
2414100,Tenente Ananias,10923,2021-11-14,16942,8660,7454
2414605,Upanema,14937,2021-11-14,19783,10793,8288
2414753,Venha-Ver,4232,2021-11-14,5723,3300,2333
2500403,Alagoa Nova,20992,2021-11-14,28447,16885,11140
2501203,Areial,7054,2021-11-14,11109,6197,4626
2501401,Baía da Traição,9197,2021-11-14,13675,7180,6222
2501807,Bayeux,97519,2021-11-14,109487,68181,40051
2502003,Belém do Brejo do Cruz,7356,2021-11-14,9842,5667,3953
2503308,Cachoeira dos Índios,10364,2021-11-14,13589,7607,5512
2503902,Camalaú,6048,2021-11-14,9839,5542,3998
2504702,Congo,4787,2021-11-14,9818,5467,4055
2505402,Desterro,8332,2021-11-14,12459,7111,4935
2505600,Diamante,6506,2021-11-14,10032,5282,4271
2506004,Esperança,33386,2021-11-14,39777,24922,14499
2507101,Itapororoca,18978,2021-11-14,21694,14118,7709
2509008,Manaíra,10988,2021-11-14,15390,8675,6251
2509701,Monteiro,33638,2021-11-14,55022,29946,22573
2510105,Nova Floresta,10614,2021-11-14,14263,7774,5792
2512002,Pocinhos,18848,2021-11-14,25579,14172,10413
2513356,Santa Inês,3591,2021-11-14,4933,2895,1996
2513901,São Bento,34650,2021-11-14,45306,26305,18259
2516755,Tenório,3103,2021-11-14,4134,2498,1556
2603926,Carnaubeira da Penha,13117,2021-11-14,18751,10028,7698
2604304,Cedro,11972,2021-11-14,16582,8923,6977
2605806,Frei Miguelinho,15633,2021-11-14,16373,9165,6690
2605905,Gameleira,31578,2021-11-14,27276,15930,10893
2606705,Ibirajuba,7773,2021-11-14,11620,6332,4795
2607406,Itacuruba,5013,2021-11-14,7754,4087,3282
2607505,Itaíba,26268,2021-11-14,35141,19663,15254
2608255,Jucati,11545,2021-11-14,17090,9692,7190
2611200,Poção,11308,2021-11-14,16107,9088,6782
2612406,Sanharó,27308,2021-11-14,25637,14999,9822
2612455,Santa Cruz,15713,2021-11-14,18186,10345,7327
2613404,São José da Coroa Grande,21868,2021-11-14,19065,11639,7095
2614808,Tacaratu,26439,2021-11-14,26589,14294,11385
2615003,Taquaritinga do Norte,29472,2021-11-14,23989,16122,7951
2615300,Timbaúba,52587,2021-11-14,75376,43329,29925
2615409,Toritama,47088,2021-11-14,36270,22428,13816
2615508,Tracunhaém,13856,2021-11-14,16662,9757,6777
2616100,Verdejante,9572,2021-11-14,12716,6905,5554
2703759,Jequiá da Praia,11495,2021-11-14,13411,7826,5351
2708956,Senador Rui Palmeira,13893,2021-11-14,13763,8094,5652
2805109,Pedrinhas,9727,2021-11-14,12064,7338,4612
2900900,Almadina,5273,2021-11-14,8675,4887,3473
2901007,Amargosa,37631,2021-11-14,58005,32218,23953
2901304,Andaraí,13122,2021-11-14,17631,10495,7088
2901353,Andorinha,14416,2021-11-14,24470,13550,10459
2901809,Antônio Gonçalves,11955,2021-11-14,13641,7844,5566
2902302,Aratuípe,8848,2021-11-14,9730,6495,3212
2902807,Barra da Estiva,20198,2021-11-14,34143,20358,13839
2903953,Bom Jesus da Serra,9768,2021-11-14,12856,7502,5308
2905305,Cafarnaum,18585,2021-11-14,23709,13649,9817
2906006,Campo Formoso,71754,2021-11-14,58874,46015,12887
2907509,Catu,55222,2021-11-14,54067,35583,18989
2908606,Conde,26223,2021-11-14,28828,16977,11948
2909406,Cotegipe,13756,2021-11-14,16296,9419,6588
2910057,Dias d'Ávila,83705,2021-11-14,108398,62107,47280
2911204,Gandu,32778,2021-11-14,32419,20844,11681
2911907,Iaçu,23950,2021-11-14,31036,18434,12259
2912004,Ibiassucê,8849,2021-11-14,16349,9159,6647
2916906,Itiruçu,12482,2021-11-14,16699,9405,6940
2918100,Jeremoabo,40832,2021-11-14,47447,27879,19305
2918357,João Dourado,25606,2021-11-14,32716,19254,13134
2919157,Lapão,27323,2021-11-14,30901,19398,11604
2920106,Mairi,18535,2021-11-14,28039,14789,12138
2921005,Mata de São João,47643,2021-11-14,62742,35494,27054
2922102,Mundo Novo,27153,2021-11-14,26123,14677,10739
2922300,Muritiba,29420,2021-11-14,37754,22150,15274
2923209,Oliveira dos Brejinhos,21797,2021-11-14,30421,18337,11447
2923605,Paramirim,21777,2021-11-14,31786,17031,14009
2924058,Pé de Serra,13535,2021-11-14,15696,8893,6737
2924652,Pintadas,10353,2021-11-14,14538,8069,6012
2925253,Ponto Novo,14729,2021-11-14,19395,12083,7163
2925501,Prado,28214,2021-11-14,22530,14902,7619
2925758,Presidente Tancredo Neves,28272,2021-11-14,32516,19539,12794
2925808,Queimadas,25428,2021-11-14,30122,18525,11318
2928208,Santana,26792,2021-11-14,18824,14193,4835
2930907,Tabocas do Brejo Velho,12515,2021-11-14,15998,9344,6501
2931053,Tanque Novo,17518,2021-11-14,25405,14433,10420
2932408,Uibaí,13894,2021-11-14,18766,11158,7452
2932606,Urandi,16672,2021-11-14,17533,11534,6169
2933505,Wenceslau Guimarães,20862,2021-11-14,25717,15457,10058
3100203,Abaeté,23263,2021-11-14,36393,20053,14917
3100609,Água Boa,13319,2021-11-14,16077,9232,6480
3103801,Arapuá,2836,2021-11-14,5799,2819,2592
3104205,Arcos,40658,2021-11-14,61538,32721,27324
3104502,Arinos,17850,2021-11-14,22058,13083,8507
3104809,Augusto de Lima,4833,2021-11-14,7499,3920,3269
3109402,Buritizeiro,28184,2021-11-14,32194,18884,13054
3109709,Cachoeira de Minas,11609,2021-11-14,19086,9939,8238
3111804,Canápolis,12251,2021-11-14,18056,9263,8074
3113701,Carlos Chagas,18516,2021-11-14,28921,16422,11544
3116704,Coimbra,7631,2021-11-14,11858,6692,4683
3118007,Congonhas,55836,2021-11-14,90093,48593,38658
3123908,Entre Rios de Minas,15458,2021-11-14,22893,12282,9642
3124104,Esmeraldas,72512,2021-11-14,79810,50146,29189
3125408,Felício dos Santos,4656,2021-11-14,9111,5332,3493
3126703,Francisco Sá,26459,2021-11-14,31964,18836,12594
3126752,Franciscópolis,5287,2021-11-14,7431,4080,3086
3127909,Grupiara,1386,2021-11-14,2688,1339,1175
3128402,Guarani,8926,2021-11-14,13833,7321,6111
3129103,Gurinhatã,5516,2021-11-14,9144,4810,3828
3129509,Ibiá,25511,2021-11-14,33847,18382,14331
3131406,Ipiaçu,4229,2021-11-14,7323,3755,3165
3131604,Iraí de Minas,7067,2021-11-14,9880,5297,4230
3133303,Itaobim,20997,2021-11-14,27463,15462,11191
3133709,Itatiaiuçu,11354,2021-11-14,15087,9624,5521
3133808,Itaúna,94455,2021-11-14,123029,71906,47807
3134400,Iturama,40101,2021-11-14,58925,32150,25488
3134608,Jaboticatubas,20683,2021-11-14,22598,14642,8119
3135050,Jaíba,39850,2021-11-14,38022,23492,14201
3135308,Japaraíba,4418,2021-11-14,6827,3662,2999
3135605,Jequitaí,7407,2021-11-14,10564,5896,4284
